row_id,algorithm_name,test_string_id,rng_seed,timestamp,key_hex,key_size_bits,plaintext_hex,ciphertext_hex,plaintext_length,ciphertext_length,encryption_time_ms,shannon_entropy,chi_square_statistic,avalanche_effect,encryption_successful,decryption_successful,overall_status
1,3DES-CBC,1,43,2026-01-02T10:04:29.225094,de19add25f18c7eb671fc64fa3b91cd76a292db8976d446e,192,48656c6c6f2c20576f726c6421,3f2680efeb5801c2bf3164341c6af465,13,16,12.54319999134168,3.180832987205441,400.53846153846155,0.0,True,True,SUCCESS
2,3DES-CBC,2,44,2026-01-02T10:04:29.225617,157d3628b891bff66004b975efbdb38b55e6970b80a530c3,192,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f67,a2d937a01a6756a829a69fd605a312c874887ea4e540ec1213b1d7f9e96e143645ca308b8ec74062f26ebe5f1b0bb4b0,43,48,0.09709999721962959,4.431965045349459,689.2790697674421,0.0,True,True,SUCCESS
3,3DES-CBC,3,45,2026-01-02T10:04:29.225787,6a078742540e25a8626d8119ee48a8fb97914d6a0e9d396a,192,31323334353637383930,72827cd419c89c54488548cd5bb47e8a,10,16,0.036999990697950125,3.321928094887362,245.99999999999997,0.0,True,True,SUCCESS
4,3DES-CBC,4,46,2026-01-02T10:04:29.225941,cb03d9e148b9b5bf7670e0d3020fdfc74e0e4888892f978b,192,4142434445464748494a4b4c4d4e4f505152535455565758595a,73ab10506c87e20cb02370dba7c4e4aa7334cf8033f9c8f4470d59c41b8dc50e,26,32,0.025999994250014424,4.70043971814109,229.9999999999999,0.0,True,True,SUCCESS
5,3DES-CBC,5,47,2026-01-02T10:04:29.226093,c4a94c5219d9d6121fc428e2335ed107cfd08978817fa516,192,21402324255e262a28295f2b2d3d7b7d5b5d7c3a3b3c3e3f2c2e2f,eba4b9ce3e3255955475cec752995ea43f30acb083283a3e5ba155fe8027eadc,27,32,0.024599998141638935,4.754887502163471,229.00000000000014,0.0,True,True,SUCCESS
6,3DES-CBC,6,48,2026-01-02T10:04:29.226256,d091f90cb81ebeaa22b392b15e85b4dab9184ca9d02f373f,192,4c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e73656374657475722061646970697363696e6720656c69742e,715962ea550e5b308bb851c9d5bbd85fa2270e1fd0b6c3566535dd5f24a1b0d9194f4d2ca50d0d653a1c957c94485b4c844eeb4a69b3159ee497e41d50ac0470,56,64,0.026600013370625675,4.010119155734493,958.857142857143,0.0,True,True,SUCCESS
7,3DES-CBC,7,49,2026-01-02T10:04:29.226389,5b826dd152d1510b8e2bc7f6b2d33a26f642879b478cffd9,192,00010203040506070809,e58a52d4f169fb090e9e5230b0f10919,10,16,0.021900006686337292,3.321928094887362,245.99999999999997,0.0,True,True,SUCCESS
8,3DES-CBC,8,50,2026-01-02T10:04:29.226539,8c74889bf573b034f143e88a5baebb90419e97b1b1d800a9,192,61616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161,c7e62e379acee189b56b045ab0b98c409c4ed4e76ce11645cdd5e38ebc24f754589ee8864621a17b83041e923f5d58bd9346531731ada815648256df370640c06b87b1acbdb54649afb4e027d13146fd465dd5a46d12a77e4f7ea2a9eed2eda16da8c88d7d8b8820,100,104,0.023100001271814108,0.0,25500.0,0.0,True,True,SUCCESS
9,3DES-CBC,9,51,2026-01-02T10:04:29.226688,94a7c8be3b88b5e7c75c53a16254ba57677205291262a8e4,192,54657374696e6720656e6372797074696f6e207769746820766172696f75732064617461207061747465726e732e2e2e,d344016c0fd21e15450d117b4509aebce5f405dc7b558a9906e097d241d5b92bf96d8523ffe9f9e54a4c117ce326b16d70b21381117fe29e,48,56,0.02090001362375915,4.040400719733289,816.0,0.0,True,True,SUCCESS
10,3DES-CBC,10,52,2026-01-02T10:04:29.226831,75a0ca4319e62a3e2fe9a027c609056bd4d9a5a7ca134935,192,46696e616c207465737420737472696e6720666f722063727970746f6772617068696320616e616c797369732e,e0c80f36bc82efd5668b9ea73cef12bc6b4baee3e3f777e423bf90457846076744bcf4c484adb0a45973924d739f7601,45,48,0.020699997548945248,3.9726413635163356,768.5111111111111,0.0,True,True,SUCCESS
